Country,Last,,Q2/22,Q3/22,Q4/22,Q1/23,
Afghanistan,1.56,06/21/22,3.8,2.5,4.3,4.3,
Albania,5.7,03/22/22,4.3,3.1,2.2,2,
Algeria,9.6,02/22/22,10,9.4,8.6,9,
Angola,27.28,02/22/22,27,24,20,18,
Argentina,52.3,02/22/22,54.1,54.7,55,51,
Armenia,7.4,03/22/22,6.8,6.7,5.5,5,
Aruba,3.5,02/22/22,4.1,3.5,3.2,3,
Australia,3.5,12/21/22,5,5,4.2,4,
Austria,6.8,03/22/22,5.9,4.7,4.2,3.5,
Azerbaijan,12.2,02/22/22,14.2,13.4,10.5,9.1,
Bahamas,3.8,10/21/22,3.9,2.4,2.1,1.5,
Bahrain,3.2,02/22/22,3.2,2.5,1.5,0.7,
Bangladesh,6.17,02/22/22,5.8,5.5,5.3,5,
Barbados,5,12/21/22,5,4,3.6,3.5,
Belarus,15.9,03/22/22,12.5,11.5,9.8,8,
Belgium,8.31,03/22/22,8.2,8,7,7.5,
Belize,4.1,01/22/22,3.8,3.6,3.2,2.3,
Benin,2.5,02/22/22,5.6,4.4,3.2,3,
Bermuda,2.5,10/21/22,3.8,3.5,3.4,3.4,
Bhutan,6.87,12/21/22,6.5,5.5,5.8,5.2,
Bolivia,0.7,02/22/22,1.5,1.7,1.7,1.5,
Bosnia and Herzegovina,8.1,02/22/22,7,6.8,5.2,4.5,
Botswana,10.6,02/22/22,11.4,10.9,10.5,8.5,
Brazil,11.3,03/22/22,12.97,11.03,10.24,9.15,
Brunei,2.2,12/21/22,2,1.6,0.7,1,
Bulgaria,10,02/22/22,11,9,8.1,6.5,
Burkina Faso,10.1,02/22/22,7,6,5,4,
Burundi,13.32,02/22/22,10,8,7,5.8,
Cambodia,3.7,12/21/22,3.8,3.1,3.2,2.8,
Cameroon,2.37,09/21/22,5,4,4.3,4,
Canada,5.7,02/22/22,4.5,4.1,3.6,2.3,
Cape Verde,7.1,02/22/22,8,7,6,4.5,
Cayman Islands,6.4,09/21/22,5.3,4.5,3.6,3,
Central African Republic,4.78,12/20/22,5,4.7,4.5,4.3,
Chad,1,12/21/22,2.6,3,3.5,3.1,
Chile,9.4,03/22/22,9.9,7.8,6.2,3.9,
China,1.5,03/22/22,2,1.9,1.8,1.3,
Colombia,8.53,03/22/22,8.5,7,5,5,
Comoros,3.59,09/21/22,4.7,4,4,3,
Congo,3.99,11/21/22,5.4,5,5,4,
Costa Rica,5.79,03/22/22,5,4.5,4,3.5,
Croatia,6.3,02/22/22,6.1,5.7,5.2,4.5,
Cuba,23.3,01/22/22,70,65,55,55,
Cyprus,7.1,03/22/22,6.8,5.8,4.7,4,
Czech Republic,12.7,03/22/22,14.4,11.5,10.2,8,
Denmark,5.4,03/22/22,5.9,3.6,2.5,1.9,
Djibouti,2.55,12/21/22,6,4.6,4,3.7,
Dominican Republic,8.98,02/22/22,8.2,7.5,6,5.5,
East Timor,5.7,02/22/22,5.5,5,4.5,4,
Ecuador,2.64,03/22/22,3.14,3.26,3.39,3.1,
Egypt,10.5,03/22/22,10,8.3,7,6,
El Salvador,6.69,03/22/22,6.9,6.5,5.5,4.5,
Equatorial Guinea,2.9,12/21/22,5,5,5,3.7,
Eritrea,2.6,12/21/22,5,5,5,6,
Estonia,15.2,03/22/22,13.5,12.9,10.3,8,
Ethiopia,33.6,02/22/22,30,18,15,12,
Euro Area,7.5,03/22/22,6.1,5.3,4.1,2.6,
European Union,5.6,01/22/22,6,5.3,4.7,3.9,
Faroe Islands,3.4,12/21/22,3.7,3.5,2.8,2,
Fiji,4.7,03/22/22,2.5,2,1.8,2,
Finland,4.5,02/22/22,4.4,4,3.8,3.4,
France,4.5,03/22/22,3.7,3,2,1.8,
Gabon,2.4,02/22/22,3.5,2.7,1.7,1.3,
Gambia,8.35,02/22/22,10,7,5.8,5.3,
Georgia,11.8,03/22/22,12.8,10.2,9,8,
Germany,7.3,03/22/22,5.3,4.9,3.7,3,
Ghana,15.7,02/22/22,25,22,17,15,
Greece,8.9,03/22/22,7,6.4,4.5,2,
Guatemala,4.17,03/22/22,3.4,3.1,3,2.8,
Guinea,12.27,02/22/22,10,9.5,8,7.5,
Guinea Bissau,6.5,01/22/22,6.5,5.7,5.4,4.8,
Guyana,5.73,02/22/22,6,5.5,5,4,
Haiti,23.95,01/22/22,25.4,15,11,10,
Honduras,6.37,02/22/22,6.5,5.8,4.4,4,
Hong Kong,1.6,02/22/22,2.5,2.1,2.1,1.1,
Hungary,8.5,03/22/22,8.6,9.1,8.2,5,
Iceland,6.7,03/22/22,6.3,5.2,4.3,4,
India,6.07,02/22/22,6.3,5.8,5.4,5.1,
Indonesia,2.64,03/22/22,2.3,2.3,3.8,2.2,
Iran,34.7,03/22/22,33,30,28,27,
Iraq,5.1,02/22/22,5.4,4.6,4,3.6,
Ireland,6.7,03/22/22,5.5,4.7,4.5,4,
Israel,3.5,02/22/22,2,1.6,1.8,2.5,
Italy,6.7,03/22/22,4.4,4.2,3.8,3.5,
Ivory Coast,4.6,02/22/22,5,4.5,3.8,3.3,
Jamaica,9.7,01/22/22,9.8,9.1,7.5,7,
Japan,0.9,02/22/22,0.7,0.7,0.5,0.5,
Jordan,1.95,02/22/22,2.5,2,1.8,1.5,
Kazakhstan,12,03/22/22,8.5,7.5,6,6,
Kenya,5.56,03/22/22,6,4.8,4.6,4.3,
Kosovo,7.5,02/22/22,6.3,5.1,4.3,3.5,
Kuwait,4.37,02/22/22,4.2,3.8,3.2,3,
Kyrgyzstan,10.8,02/22/22,13,16,18,14,
Laos,7.31,02/22/22,6.6,5.5,5,4.2,
Latvia,11.5,03/22/22,8.5,7.3,6.4,5.5,
Lebanon,214.59,03/22/22,160,135,100,80,
Lesotho,7.5,02/22/22,8,7,5,4.3,
Liberia,5.44,11/21/22,6.9,7.1,7.3,7.5,
Libya,3.9,12/21/22,8,7,5,4,
Liechtenstein,1.5,12/21/22,2.2,2,1.6,1.2,
Lithuania,15.7,03/22/22,13.5,12.5,11.4,8.4,
Luxembourg,6.1,03/22/22,6.7,6.1,5.3,5,
Macau,0.81,02/22/22,1.1,1,1.4,1.8,
Macedonia,8.8,03/22/22,7,5,4.8,2.7,
Madagascar,6.11,12/21/22,6,5.7,5.3,4,
Malawi,13,02/22/22,10.8,10.6,10.4,9,
Malaysia,2.2,02/22/22,2.8,3.3,2.5,2,
Maldives,0.56,02/22/22,1,2,2.5,2,
Mali,4.5,01/22/22,5.5,4.8,5,4,
Malta,4.2,02/22/22,4.4,4,3.8,3.2,
Mauritania,6.1,02/22/22,5.8,5.4,5.2,4.7,
Mauritius,10.7,03/22/22,8.3,8,7,6,
Mexico,7.45,03/22/22,7.3,6.8,6.2,4.5,
Moldova,22.2,03/22/22,17,10,6.8,4.5,
Mongolia,14.2,02/22/22,12,10.5,7.5,7,
Montenegro,6.7,02/22/22,4.9,4.5,4.2,3.5,
Morocco,3.6,02/22/22,4.2,4.5,4.7,2.8,
Mozambique,6.67,03/22/22,10,8.5,8.2,8,
Myanmar,7.28,09/21/22,14,11.5,10,8,
Namibia,4.5,02/22/22,5,5.3,4.7,3.8,
Nepal,5.97,02/22/22,7,6.1,5.1,5,
Netherlands,9.7,03/22/22,9.5,6.5,5.8,5,
New Caledonia,1.2,12/21/22,2.2,1.6,1.5,1.3,
New Zealand,5.9,12/21/22,6.9,5.6,4.5,4.8,
Nicaragua,7.68,01/22/22,5.6,4.8,4.5,4,
Niger,4.89,12/21/22,4.5,4,3.7,3.4,
Nigeria,15.7,02/22/22,17,16,15,12,
Norway,4.5,03/22/22,5.2,4.6,3.9,3,
Oman,4.02,02/22/22,4.6,4,3.5,2.5,
Pakistan,12.7,03/22/22,12.2,10,9,8.5,
Palestine,2.97,02/22/22,2.8,2,1,1.5,
Panama,2.74,02/22/22,2.6,2.2,1.7,1.5,
Papua New Guinea,5.7,12/21/22,5.5,5,4,3,
Paraguay,10.1,03/22/22,8,5.9,4.6,3.3,
Peru,6.83,03/22/22,6.05,4.15,3.83,3.08,
Philippines,4,03/22/22,4.5,4.4,4.2,3.5,
Poland,10.9,03/22/22,9.3,8.3,7.6,7,
Portugal,5.3,03/22/22,3.7,3.5,3.2,3,
Puerto Rico,4.4,01/22/22,3.5,3,2.9,2.5,
Qatar,3.99,02/22/22,4.5,4.8,3.8,3.5,
Romania,8.53,02/22/22,11.2,10,9.6,6.5,
Russia,16.7,03/22/22,20,24,22,15,
Rwanda,5.6,03/22/22,6,5,7.5,4.5,
Sao Tome and Principe,10.5,01/22/22,9,6.5,6.2,6,
Saudi Arabia,1.6,02/22/22,1.6,1.9,1.7,1.5,
Senegal,6.5,02/22/22,8,6.7,5,3.8,
Serbia,8.8,02/22/22,8.8,8.5,7,5.8,
Seychelles,2.22,03/22/22,5,3.7,4,3.7,
Sierra Leone,17.94,12/21/22,24,18,15,8,
Singapore,4.3,02/22/22,4.3,4,3.6,2.5,
Slovakia,9,02/22/22,9.8,8.4,7.2,6.2,
Slovenia,5.4,03/22/22,7.2,6.5,4.8,4,
Somalia,6.45,02/22/22,8,7,6.4,6.6,
South Africa,5.7,02/22/22,6.2,5.7,5.8,4.7,
South Korea,4.1,03/22/22,3.8,3.1,2.5,2,
South Sudan,-8.52,12/21/22,35,28,22,20,
Spain,9.8,03/22/22,7.6,6.7,4.8,3.5,
Sri Lanka,18.7,03/22/22,17.3,15,12.5,10,
Sudan,259.8,01/22/22,180,140,100,60,
Suriname,61.5,01/22/22,45,30,25,20,
Swaziland,3.5,12/21/22,4.2,4,3.8,4,
Sweden,4.3,02/22/22,4,3.5,3,2.2,
Switzerland,2.4,03/22/22,2.3,1.8,1.6,1.2,
Syria,139.46,08/21/22,13.6,13.6,13.6,13.6,
Taiwan,3.27,03/22/22,3,3.1,1.8,1.5,
Tajikistan,7.8,01/22/22,7.5,6.5,5.8,5,
Tanzania,3.7,02/22/22,4,3.7,3.3,3.5,
Thailand,5.73,03/22/22,5.5,5,4.9,4.5,
Togo,8.5,02/22/22,6.5,5.3,4.7,3.4,
Trinidad and Tobago,3.5,12/21/22,3.8,3.5,3,2.9,
Tunisia,7.2,03/22/22,6.5,6,5,4.5,
Turkey,61.14,03/22/22,55,47,40,29,
Turkmenistan,12.45,12/21/22,20,20,20,10,
Uganda,3.7,03/22/22,4.5,4.2,3.8,2.4,
Ukraine,13.7,03/22/22,25,18.9,10,8,
United Arab Emirates,2.5,12/21/22,3,2.8,2.4,2,
United Kingdom,6.2,02/22/22,9.1,8.4,6.8,4.4,
United States,7.9,02/22/22,8,7.2,6.3,5.9,
Uruguay,9.38,03/22/22,9.5,7.5,6.6,6,
Uzbekistan,9.7,02/22/22,11,10,9,7,
Vanuatu,0.9,09/21/22,3.2,3.2,3.2,3.2,
Venezuela,284.4,03/22/22,350,300,250,200,
Vietnam,2.41,03/22/22,2.7,3,2.7,2.6,
Zambia,13.1,03/22/22,14,13.5,13.2,10,
Zimbabwe,72.7,03/22/22,95,100,110,70,
