Country,Last,,Q2/22,Q3/22,Q4/22,Q1/23
Afghanistan,1.56,06/01/2021,3.8,2.5,4.3,4.3
Albania,6.20,04/01/2022,4.3,3.1,2.2,2
Algeria,9.60,02/01/2022,10,9.4,8.6,9
Angola,25.79,04/01/2022,27,24,20,18
Argentina,58.00,04/01/2022,55,60.1,61.9,50.3
Armenia,8.40,04/01/2022,8.8,7.7,6.5,5
Aruba,3.50,02/01/2022,4.1,3.5,3.2,3
Australia,5.10,03/01/2022,5,5,4.2,4
Austria,7.20,04/01/2022,5.9,4.7,4.2,3.5
Azerbaijan,12.20,03/01/2022,14.2,13.4,10.5,9.1
Bahamas,3.80,10/01/2021,3.9,2.4,2.1,1.5
Bahrain,3.90,03/01/2022,3.2,2.5,1.5,0.7
Bangladesh,6.22,03/01/2022,5.8,5.5,5.3,5
Barbados,5.00,12/01/2021,5,4,3.6,3.5
Belarus,16.80,04/01/2022,12.5,11.5,9.8,8
Belgium,8.31,04/01/2022,8.2,8,5.2,2.5
Belize,4.50,02/01/2022,3.8,3.6,3.2,2.3
Benin,2.00,03/01/2022,5.6,4.4,3.2,3
Bermuda,2.50,02/01/2022,3.8,3.5,3.4,3.4
Bhutan,5.32,02/01/2022,6.5,5.5,5.8,5.2
Bolivia,0.87,04/01/2022,1.9,2.7,2.9,3.5
Bosnia and Herzegovina,10.20,03/01/2022,9,7.8,6.2,5.5
Botswana,9.60,04/01/2022,8,6,5.7,5.3
Brazil,12.13,04/01/2022,12.97,11.03,10.24,9.15
Brunei,2.20,12/01/2021,2,1.6,0.7,1
Bulgaria,14.40,04/01/2022,11,9,8.1,6.5
Burkina Faso,15.10,04/01/2022,18,14,12,10
Burundi,12.80,03/01/2022,15,10,8,6
Cambodia,3.70,12/01/2021,3.8,3.1,3.2,2.8
Cameroon,2.37,09/01/2021,5,4,4.3,4
Canada,6.80,04/01/2022,5.9,5.1,4.5,3.5
Cape Verde,7.60,04/01/2022,10,8,7,4.5
Cayman Islands,7.60,12/01/2021,5.3,4.5,3.6,3
Central African Republic,2.70,12/01/2021,5,4.7,4.5,4.3
Chad,3.50,03/01/2022,6,4.5,4,3.5
Chile,10.50,04/01/2022,11,9.5,7.7,5.2
China,2.10,04/01/2022,2,1.9,1.8,1.3
Colombia,9.23,04/01/2022,9.51,9.54,9.45,6.11
Comoros,3.59,09/01/2021,4.7,4,4,3
Congo,3.99,11/01/2021,5.4,5,5,4
Costa Rica,7.14,04/01/2022,6.37,5.39,4.14,2.34
Croatia,9.40,04/01/2022,6.1,5.7,5.2,4.5
Cuba,23.30,01/01/2022,70,65,55,55
Cyprus,8.80,04/01/2022,7.8,5.8,4.7,4
Czech Republic,14.20,04/01/2022,14.4,11.5,10.2,8
Denmark,6.70,04/01/2022,5.9,3.6,2.5,1.9
Djibouti,3.61,03/01/2022,5,4,3.4,3.2
Dominican Republic,9.64,04/01/2022,7.9,6.7,4.8,2.6
East Timor,6.60,04/01/2022,5.5,5,4.5,4
Ecuador,2.89,04/01/2022,2.99,2.91,2.85,2.36
Egypt,13.10,04/01/2022,18,17,13,10
El Salvador,6.55,04/01/2022,7.18,6.7,5.81,4.29
Equatorial Guinea,2.90,12/01/2021,5,5,5,3.7
Eritrea,2.60,12/01/2021,5,5,5,6
Estonia,18.80,04/01/2022,13.5,10.3,8,4.7
Ethiopia,36.60,04/01/2022,37,34,30,27
Euro Area,7.40,04/01/2022,6.3,5.8,5,3.4
European Union,8.10,04/01/2022,7.3,6.7,6.2,4.9
Faroe Islands,4.40,03/01/2022,3.7,3.5,2.8,2
Fiji,4.70,04/01/2022,2.5,2,1.8,2
Finland,5.70,04/01/2022,4.4,4,3.8,3.4
France,4.80,04/01/2022,3.7,3,2,1.8
Gabon,2.90,03/01/2022,3.5,2.7,1.7,1.3
Gambia,11.69,04/01/2022,15,11,10,7.8
Georgia,12.80,04/01/2022,14,10.2,9,8
Germany,7.40,04/01/2022,7,6.3,6.1,4.2
Ghana,23.60,04/01/2022,25,22,17,15
Greece,10.20,04/01/2022,7,6.4,4.5,2
Guatemala,4.62,04/01/2022,3.4,3.1,3,2.8
Guinea,12.42,03/01/2022,15,10,8,7.5
Guinea Bissau,6.50,01/01/2022,6.5,5.7,5.4,4.8
Guyana,6.77,03/01/2022,6,5.5,5,4
Haiti,23.95,01/01/2022,25.4,15,11,10
Honduras,8.35,04/01/2022,6.5,5.8,4.4,4
Hong Kong,1.70,03/01/2022,2.5,2.1,2.1,1.1
Hungary,9.50,04/01/2022,8.6,9.1,8.2,5
Iceland,7.20,04/01/2022,7.5,7.8,6.3,5
India,7.79,04/01/2022,6.3,5.8,5.4,5.1
Indonesia,3.47,04/01/2022,3.2,2.8,2.6,2.2
Iran,35.60,04/01/2022,33,30,28,27
Iraq,5.10,02/01/2022,5.4,4.6,4,3.6
Ireland,7.00,04/01/2022,5.5,4.7,4.5,4
Israel,4.00,04/01/2022,2,1.6,1.8,2.5
Italy,6.00,04/01/2022,4.4,4.2,3.8,3.5
Ivory Coast,4.50,03/01/2022,5,4.5,3.8,3.3
Jamaica,11.30,03/01/2022,9.8,9.1,7.5,7
Japan,1.20,03/01/2022,0.7,0.7,0.5,0.5
Jordan,3.60,04/01/2022,2.5,2,1.8,1.5
Kazakhstan,13.20,04/01/2022,12,10.5,8,6
Kenya,6.47,04/01/2022,7,5.4,4.6,4.3
Kosovo,11.20,04/01/2022,12.5,10,6,5.5
Kuwait,4.36,03/01/2022,4.2,3.8,3.2,3
Kyrgyzstan,14.50,04/01/2022,13,16,18,14
Laos,9.90,04/01/2022,6.6,5.5,5,4.2
Latvia,13.00,04/01/2022,8.5,7.3,6.4,5.5
Lebanon,208.13,03/01/2022,160,135,100,80
Lesotho,7.20,03/01/2022,8,7,5,4.3
Liberia,5.44,11/01/2021,6.9,7.1,7.3,7.5
Libya,5.70,03/01/2022,8,7,5,4
Liechtenstein,1.50,12/01/2021,2.2,2,1.6,1.2
Lithuania,16.80,04/01/2022,13.5,12.5,11.4,8.4
Luxembourg,7.00,04/01/2022,6.7,6.1,5.3,5
Macau,1.07,03/01/2022,1.1,1,1.4,1.8
Macedonia,10.50,04/01/2022,7,5,4.8,2.7
Madagascar,6.34,02/01/2022,6,5.7,5.3,4
Malawi,15.70,04/01/2022,18,14,12,10
